gate,track,state,owner,qualified_basis,remaining_dependencies,parallel_readiness_allowed,effect
G0-G5,shared governance/evidence attachment,QUALIFIED_INHERITED_FROM_RG02,RG02-G5,"authority/provenance, preparatory aggregate and independent-stream attachment",none within RG03,yes,No evidence strength promotion; not a scientific baseline
G6H,historical fidelity,ACTIVE_B2_ACQUISITION_NOT_PASSED,PREP02R,independently trustworthy historical reference acquisition and comparison,actual reference artifact plus qualification/comparison,yes,Mandatory for historical fidelity/equivalence claims; absence does not globally block unrelated readiness work
G6U,historical uncertainty eligibility,NOT_ELIGIBLE_ACQUISITION_NOT_EXHAUSTED,GOV02 + PREP02R,bounded reasonable acquisition closure,real external request/action and documented bounded outcome; currently external_request_sent=false,yes,Does not pass G6H and does not turn synthetic/B1 evidence into B2
G7,scientific process-scoped B3,NO_ATOMIC_SCIENTIFIC_ADMISSIONS_YET,B3Q01 + B3I01,class-specific evidence plus a legitimate evidence route per atomic process/discrepancy,per-queue dependencies; normal B2 route or eligible stricter historical-uncertainty route when allowed,yes,Admission is atomic and process-scoped; readiness may proceed before G6H/G6U where dependencies allow
GSTATE,canonical persistent state,RESTRICTED_CORE_EXECUTABLE_CHECKPOINT_SEMANTICS_QUALIFIED_ADMISSION_BLOCKED,STATEQ01 + STATEQ02,"profile-scoped continuation owners, checkpoint completeness, exact B0-hash-pinned accepted-boundary restore and future trajectory for restricted external-crop C/N/P profile",separate canonical admission authority; canonical TIME/external-owner binding for claimed profile; active-feature state atoms for any broader profile,yes,"Restricted core has executable exact split-run evidence; GHG/macropore/internal-crop/active TCD-040/stable-DOM/P-class scopes remain excluded; canonical STATE not admitted"
GTIME,canonical time,CONCRETE_CANDIDATE_QUALIFIED_ADMISSION_BLOCKED,TIME02 + TIMEQ01,"exact rational civil-day coordinate, event boundaries, transaction identity and scheduler contract",GSTATE binding; real producer/external exchange mappings; historical comparison only for historical-equivalence claims,yes,No epsilon; no floating tolerance defines calendar semantics; canonical TIME not admitted
GMASS,canonical mass,TYPED_EVENT_PROJECTION_AND_RESIDUAL_RECONCILIATION_QUALIFIED_ADMISSION_BLOCKED,MASSQ01 + MASSQ02,"observer non-interference, current residual causal reconciliation with zero unexplained records, candidate typed owner-to-owner event projection",canonical active STATE plus admitted transfer/process semantics; B3I03/TCD-042 atomization and relevant existing TCD dispositions; canonical runtime journal; nested crop and active-feature ledger closure,yes,Legacy balance accumulators are not authoritative state/event owners; canonical MASS not admitted
GEX,external exchange,SYNTHETIC_CONTRACT_FIXTURE_QUALIFIED_REAL_ADAPTER_BLOCKED,ARCH05 + ARCH07 + TIMEQ02,external-owner frame/schema/identity and transaction fixture,producer-specific real SWAP/WATBAL/external-crop adapter qualification; GTIME/GSTATE binding; feature admission,yes,Synthetic adapter fixture is not canonical exchange and not B2; STATEQ02 replay/rebind is qualification-only not a production adapter
GARCH,architecture readiness,QUALIFIED_CANDIDATE_ARCHITECTURE_REVALIDATED,ARCHG01 + ARCHG02,candidate object/state/transaction/exchange architecture reconciled with TS01/TIME01,downstream canonical gates for any B4/production claim,yes,"Architecture readiness is a design qualification, not production architecture admission"
B4(profile),compositional canonical baseline,NOT_ADMITTED,RG governance,composition of explicitly admitted upstream process/profile scopes,all included G7 atoms admitted; GSTATE/GTIME/GMASS/GEX as applicable; GARCH ready; uncertainty metadata retained,no,B4 cannot be produced by aggregation of readiness evidence; optional disabled features need not block an explicitly excluded profile
PRODUCTION,production migration,NOT_ADMITTED,future production governance,B4-qualified declared scope plus production implementation qualification,B4(profile) plus runtime/adapters/deployment qualification,no,RG03 changes no production code and admits no migration
